Temperature,Humidity,SoilMoisture,Crop,Irrigation_Needed
29.9,78.6,65.3,Rice,No
31.7,81.2,67.6,Rice,No
30.6,77.8,57.2,Rice,No
28.9,81.9,62.4,Rice,No
30.6,75.3,69,Rice,No
32.6,83.4,58.7,Rice,No
29.9,87.1,66.5,Rice,No
32.6,76,58.2,Rice,No
25.6,75.6,67.3,Rice,No
31.4,83.6,64.8,Rice,No
30.1,84.1,56.9,Rice,No
29.5,75.3,70.8,Rice,No
30.2,75.7,61.3,Rice,No
26.7,76.3,60.9,Rice,No
29.6,71.9,66,Rice,No
30.6,73.7,70.7,Rice,No
32.5,73.3,59.9,Rice,No
29.1,74.3,65.3,Rice,No
28.7,77.4,67.1,Rice,No
29.2,78.5,68.5,Rice,No
31.5,84,65.9,Rice,No
30.5,73.3,63.2,Rice,No
29.1,81.6,60.9,Rice,No
30.9,76.6,65.4,Rice,No
30.2,77.3,59.6,Rice,No
31.6,80.3,50.4,Rice,No
28.8,72.8,67.2,Rice,No
29.5,79.1,69.5,Rice,No
29.3,78.2,53.2,Rice,No
27.6,79.6,60,Rice,No
30.5,78.7,68.1,Rice,No
30.4,87.7,75.3,Rice,No
30,74.8,65.1,Rice,No
29.6,75.3,61.4,Rice,No
27.6,74.9,64.1,Rice,No
29.3,75.2,71.9,Rice,No
29.4,74.8,61.8,Rice,No
28.7,82.5,61,Rice,No
29.7,83.4,62.6,Rice,No
30.7,75.1,60.2,Rice,No
33.1,74,65.6,Rice,No
30.3,79.5,73.1,Rice,No
30.4,75.2,66.6,Rice,No
29.9,80.1,63.7,Rice,No
26.8,78.3,63.5,Rice,No
30,71.2,57.2,Rice,No
30.1,83.9,69.4,Rice,No
34.1,85,64.6,Rice,No
29.7,74.9,64.1,Rice,No
30.5,75.9,81,Rice,No
29.9,78.7,66.5,Rice,No
28.1,78.9,61.2,Rice,No
31.9,80.2,62.9,Rice,No
31.3,85.9,70.7,Rice,No
31.3,76.8,65.6,Rice,No
28.5,74.2,57.8,Rice,No
32.3,71.8,69.6,Rice,No
27.7,74.5,61.7,Rice,No
31,77.4,74.4,Rice,No
33.7,85,70.4,Rice,No
28.3,75.3,62.8,Rice,No
29.1,78.4,71.4,Rice,No
30.2,77.4,65.3,Rice,No
29.2,82.5,69.3,Rice,No
27.4,88,67.4,Rice,No
30.1,75.3,60.8,Rice,No
28.2,75.5,61.8,Rice,No
30.8,81.9,70.1,Rice,No
28.5,80.3,63.3,Rice,No
32.6,85.2,63,Rice,No
28.7,79.9,60.2,Rice,No
29.5,76,67.1,Rice,No
31.4,80,75.3,Rice,No
27.9,82.1,59.7,Rice,No
30.4,80.9,65.1,Rice,No
32.2,79.6,72.1,Rice,No
27.3,81.9,64.6,Rice,No
30.3,82.4,67.3,Rice,No
30.4,83.3,59.7,Rice,No
31.3,80.2,67.1,Rice,No
27.9,76.8,64.1,Rice,No
27.8,78.1,69.9,Rice,No
30.9,82.5,70.9,Rice,No
30.5,74.1,77.9,Rice,No
30.4,79,67.9,Rice,No
30.6,75.9,66.6,Rice,No
28.9,77.6,66,Rice,No
30.4,82.8,63.2,Rice,No
30.5,78.3,66.7,Rice,No
28.8,77.7,63.5,Rice,No
33.1,71.8,65.8,Rice,No
30.8,80.6,71.6,Rice,No
28,80.2,60,Rice,No
31.1,86.5,70.7,Rice,No
28.4,76.2,71.6,Rice,No
31.3,78.4,64.4,Rice,No
31.9,78.5,54.4,Rice,No
28.6,84.1,62,Rice,No
31.6,77.1,71.5,Rice,No
30.7,78.7,64.9,Rice,No
31.4,80,60,Rice,No
33.2,78.3,62.5,Rice,No
29.6,75.6,69.2,Rice,No
28.7,78.3,67.7,Rice,No
28.5,82,63.8,Rice,No
28.6,73.2,63.2,Rice,No
29.9,78.1,63,Rice,No
30.6,74.6,60.4,Rice,No
30.5,82.5,73.1,Rice,No
31.4,71.2,63.4,Rice,No
30,75.2,71.1,Rice,No
32.4,79.1,72.6,Rice,No
29.6,84,70,Rice,No
34.5,77.2,62.8,Rice,No
31,75.2,67,Rice,No
28.6,85.3,64.9,Rice,No
28.2,71.5,60.5,Rice,No
30.8,68.3,66.6,Rice,No
29.6,79.3,59.1,Rice,No
31.2,75.4,70.9,Rice,No
30.8,73.2,62.7,Rice,No
29.9,80.5,66,Rice,No
28.6,78.5,66.4,Rice,No
27.5,75.1,63.7,Rice,No
29.3,72.2,67.9,Rice,No
31.4,81.1,62.6,Rice,No
30.4,80.2,69.4,Rice,No
27.9,77.1,58.3,Rice,No
30.3,85.2,65.6,Rice,No
30.6,73,74.7,Rice,No
28.5,71.1,60,Rice,No
30.3,74.6,61.6,Rice,No
30.1,77.3,67.6,Rice,No
28.1,78.5,65.9,Rice,No
30.6,76.5,66.8,Rice,No
30.9,79,67.4,Rice,No
31.8,72.3,68.2,Rice,No
31.8,83.5,70.5,Rice,No
27.7,77.2,67,Rice,No
28.4,82.2,63.8,Rice,No
30.9,78.9,68.4,Rice,No
30.9,79.4,74.5,Rice,No
30.9,79.9,64.3,Rice,No
36.4,79.4,60.1,Rice,No
31,80.2,70.5,Rice,No
31.9,83,64.4,Rice,No
31.6,78.3,54.1,Rice,No
31.1,80.5,69.2,Rice,No
29.5,77.1,62.3,Rice,No
31.3,83.5,64.5,Rice,No
28.7,74.7,66.7,Rice,No
29.6,85,66,Rice,No
29.2,77.3,68.5,Rice,No
30.1,71.5,62.8,Rice,No
33.9,78,67.6,Rice,No
26.9,74.7,63.7,Rice,No
31.1,81,68.7,Rice,No
27.3,74.8,68.1,Rice,No
29.2,75.6,60.3,Rice,No
31.8,69.6,70.4,Rice,No
30.1,75.6,62.3,Rice,No
28.2,67.4,69,Rice,No
28.8,70.9,66.8,Rice,No
31.1,80.7,74.2,Rice,No
28.8,80.8,63.9,Rice,No
30.4,79.3,63.3,Rice,No
30.1,73.5,64.9,Rice,No
28.9,77.3,63.5,Rice,No
33.6,77.5,69,Rice,No
31.1,72.7,56.9,Rice,No
26.6,83.8,59.7,Rice,No
30.3,81.2,59.7,Rice,No
28.9,76.6,69.8,Rice,No
31.4,77.6,73.6,Rice,No
28.7,78.4,64.5,Rice,No
29.8,69,64.2,Rice,No
30.8,76.5,65.4,Rice,No
31.4,74.7,70.8,Rice,No
28,73.3,60.4,Rice,No
29.4,76.3,66.2,Rice,No
29.2,85,69.9,Rice,No
28.9,80.2,67.5,Rice,No
32.9,75.1,65.9,Rice,No
30.7,79.9,70,Rice,No
27.9,83.3,51.5,Rice,No
31.5,81.4,68.4,Rice,No
33.5,77.7,61.7,Rice,No
31.7,74.8,55.8,Rice,No
27.5,80.4,67.6,Rice,No
29.2,79.1,71.9,Rice,No
32.1,81.2,64.3,Rice,No
28.8,80.1,69.8,Rice,No
30.7,81.9,73.1,Rice,No
31.3,75.3,71.6,Rice,No
28.5,83,73.2,Rice,No
29.9,78.3,68.7,Rice,No
24.6,86.1,65.4,Rice,No
28.3,74.6,57,Rice,No
29.6,84.7,63.8,Rice,No
27.9,78.3,60.8,Rice,No
32.7,74.8,75.9,Rice,No
27.6,75.5,64.1,Rice,No
29.3,76.2,65.6,Rice,No
30.2,79.3,67.8,Rice,No
32.4,79.7,65.2,Rice,No
27.6,75.1,73.5,Rice,No
31.9,77.4,61.9,Rice,No
30,86.4,66,Rice,No
28.4,84.7,61.3,Rice,No
30.8,79.3,58.4,Rice,No
30.3,77.7,61.9,Rice,No
29,78,64.8,Rice,No
30.1,80.1,62.9,Rice,No
29.4,73.2,61.5,Rice,No
30.2,76.4,58,Rice,No
31.1,70.5,64.6,Rice,No
32.6,79.2,57.5,Rice,No
27.9,80.2,68.8,Rice,No
33.6,75.5,65.4,Rice,No
26.7,84.1,57.7,Rice,No
29.7,72.4,63.5,Rice,No
31,71.4,61.2,Rice,No
30.5,78.4,66.6,Rice,No
29,81.9,71.7,Rice,No
29.7,84.5,55.6,Rice,No
29.2,75.6,65.6,Rice,No
29,82,64.2,Rice,No
31.4,77.3,68.4,Rice,No
30.6,76.8,66.1,Rice,No
28.8,81.2,61.2,Rice,No
31.5,80.2,63.4,Rice,No
30.5,70.9,61,Rice,No
31.4,83.7,70.4,Rice,No
31,83.3,65.1,Rice,No
28.6,74.9,74.5,Rice,No
29.1,79.1,64.7,Rice,No
31.2,79.6,61.5,Rice,No
31,78.6,57.4,Rice,No
30,75.2,56,Rice,No
30.2,74.7,57.1,Rice,No
32.1,77.4,66.3,Rice,No
29,82.4,67.5,Rice,No
30.9,79.8,57.1,Rice,No
29.7,76,69.5,Rice,No
29.6,80.7,62.6,Rice,No
31.8,65.6,65.7,Rice,No
31.4,82.3,73.1,Rice,No
31.4,70.3,69.5,Rice,No
32.2,76,63.7,Rice,No
30,72.8,60.5,Rice,No
31.1,72.1,54.2,Rice,No
29.5,82.3,61.4,Rice,No
30.5,75.6,63.9,Rice,No
29.8,78.9,60.1,Rice,No
30.2,77.3,64.3,Rice,No
31,79.5,65.4,Rice,No
28.6,77.8,63.9,Rice,No
33.5,72.2,61.7,Rice,No
28.3,81.7,65.8,Rice,No
28,75.4,67.2,Rice,No
31.9,71,59.5,Rice,No
31.3,75.7,72.1,Rice,No
31,83.8,64.5,Rice,No
31,81,65.1,Rice,No
30,76,68.5,Rice,No
28.5,76,66.2,Rice,No
30.1,76.2,69.8,Rice,No
28.9,86.2,66.4,Rice,No
31.6,79.1,61.9,Rice,No
29.8,79.3,66.8,Rice,No
28.6,81.8,59.3,Rice,No
29.5,78.5,65.5,Rice,No
30.7,76.4,64.8,Rice,No
29.1,76.7,64,Rice,No
28.6,77.2,64.4,Rice,No
30.4,77.3,55.6,Rice,No
30.4,80.5,62.3,Rice,No
29.2,77.7,65.5,Rice,No
29.2,80.6,65.8,Rice,No
30.4,77.2,59.9,Rice,No
27.6,77.8,71.3,Rice,No
27.7,69.2,60.7,Rice,No
28.8,81.3,69.8,Rice,No
29.6,78.9,67.1,Rice,No
30.5,81.7,61.8,Rice,No
32.5,65.4,73.9,Rice,No
31.4,86.2,59,Rice,No
29.7,76.9,69.6,Rice,No
30,82.1,70,Rice,No
28.3,73.2,61.6,Rice,No
30,80.1,72,Rice,No
29.5,73.1,63.7,Rice,No
30.5,74.9,66.4,Rice,No
28.6,85.5,66.3,Rice,No
30.9,76.7,64.3,Rice,No
32.6,78.4,69.1,Rice,No
29.8,81.1,69,Rice,No
30.7,79.6,56.3,Rice,No
31.2,78.1,71.5,Rice,No
29.3,79,56.7,Rice,No
30.4,87.5,70.2,Rice,No
30,77.3,70.6,Rice,No
30.2,78.3,59.5,Rice,No
28.7,81.9,62.9,Rice,No
30,82.1,59.5,Rice,No
30.8,82.4,63.9,Rice,No
32.4,80.2,63.5,Rice,No
31.6,72.7,68.9,Rice,No
33.6,84.3,71.6,Rice,No
28.7,72.7,72,Rice,No
31.5,78.8,62.2,Rice,No
30.3,74.4,64,Rice,No
33.6,77.2,56.6,Rice,No
28.7,78.9,61,Rice,No
28.6,78.8,69.8,Rice,No
29,79.3,73.1,Rice,No
26.5,84.2,58.8,Rice,No
29.1,79.4,62,Rice,No
28.7,76.5,64.9,Rice,No
30.3,81.5,66.4,Rice,No
30.6,82.5,61,Rice,No
33.1,72.4,67.1,Rice,No
31.6,80,62.6,Rice,No
29,80.4,64.9,Rice,No
28.5,76.3,67.7,Rice,No
30.8,83.2,65,Rice,No
27.8,76.9,62.8,Rice,No
33.1,78,64.5,Rice,No
32,76.8,64.6,Rice,No
29.2,77.6,63.1,Rice,No
27.1,72.9,63.7,Rice,No
32.3,71.5,73,Rice,No
29.8,84.1,67.8,Rice,No
32.1,74,63.5,Rice,No
27.3,73.4,68.5,Rice,No
29,68.5,63.3,Rice,No
30,74.8,70.9,Rice,No
30.1,72,66.8,Rice,No
29.2,84.3,64.5,Rice,No
31,81.7,67.2,Rice,No
28.2,74.6,57.1,Rice,No
29.8,86.9,59.4,Rice,No
30.2,81.6,59,Rice,No
30.9,76.1,65.7,Rice,No
31.2,67.1,73.7,Rice,No
28.1,87,76.2,Rice,No
27.4,71.7,68.2,Rice,No
32.1,70.6,67.5,Rice,No
30.6,81.8,56,Rice,No
28.8,87.7,62.3,Rice,No
32.6,83.3,61.1,Rice,No
30.2,79.8,61.9,Rice,No
32,80,64.2,Rice,No
30.1,81.1,62.6,Rice,No
33.4,80.7,55.1,Rice,No
32.9,78.7,68.7,Rice,No
29.6,77.9,59.6,Rice,No
31.6,77.2,66.2,Rice,No
31.1,74.4,75.4,Rice,No
32.3,76.3,60.4,Rice,No
28.4,70.4,52.3,Rice,No
31.1,77.1,63.6,Rice,No
31.8,73.4,70.5,Rice,No
27.1,72.9,74.8,Rice,No
28,78.2,58.9,Rice,No
26.6,83.3,67.5,Rice,No
29.6,81.3,62.7,Rice,No
31.2,71,64.5,Rice,No
32.5,73.4,78.2,Rice,No
30.1,81.4,57.5,Rice,No
32.7,73.4,66.3,Rice,No
27.7,76.6,67.3,Rice,No
27.2,79.8,70.4,Rice,No
29.9,73.5,65.5,Rice,No
30.6,77.9,66.5,Rice,No
29.9,71.9,63,Rice,No
26.6,75,66.3,Rice,No
29.9,78.8,63.3,Rice,No
27.8,70.9,68.1,Rice,No
31.1,79.3,63.2,Rice,No
30.6,77.4,66.9,Rice,No
28.4,79.8,64.9,Rice,No
29.1,78.4,70.6,Rice,No
28.2,83.2,64.7,Rice,No
29.9,78,56.1,Rice,No
31.6,75.7,71.3,Rice,No
28.4,78,60.5,Rice,No
30.8,79.8,61.7,Rice,No
29.1,77.7,62,Rice,No
28.7,77.7,71.9,Rice,No
29.8,74.6,54.3,Rice,No
28.3,74.7,80.7,Rice,No
29.1,71.7,70.3,Rice,No
28,84.8,66.1,Rice,No
33.3,72.3,64.7,Rice,No
30.1,74.6,66.4,Rice,No
28.8,74.5,67.6,Rice,No
30.4,81.2,68.2,Rice,No
29.8,76.3,67.8,Rice,No
29.6,82.7,65.4,Rice,No
31,74.7,64,Rice,No
31.3,78.7,64.2,Rice,No
29.1,74,64,Rice,No
29,86.4,70.7,Rice,No
29.5,72.6,68,Rice,No
26.2,78.8,50.3,Rice,No
27.5,80.1,68.3,Rice,No
32.3,79.2,66,Rice,No
32.7,76.7,64.9,Rice,No
29.6,77,63.1,Rice,No
31,77.7,70.6,Rice,No
30.5,76.9,69.7,Rice,No
35.1,81.5,61.1,Rice,No
31.9,86.7,67,Rice,No
29.8,75.2,60.1,Rice,No
28.4,71.8,58.1,Rice,No
27.3,77.1,61.9,Rice,No
30.3,88.2,69.3,Rice,No
28.7,74.2,69.8,Rice,No
27.6,84.3,67.6,Rice,No
28.9,84.5,68.6,Rice,No
28.2,75.2,67.6,Rice,No
32.8,79.9,61.8,Rice,No
31.5,84.3,67.2,Rice,No
30,75.9,69,Rice,No
32.5,76.7,68.8,Rice,No
30.1,75.1,70.9,Rice,No
28.6,73.3,68.5,Rice,No
32.5,74.8,66.8,Rice,No
30.9,72.4,70.4,Rice,No
28.3,77.6,64.9,Rice,No
29.7,74.3,60.6,Rice,No
28.5,78.5,64.2,Rice,No
27.7,71,61.3,Rice,No
31.5,78.9,61.6,Rice,No
33.2,81,64.3,Rice,No
27.7,69.2,61,Rice,No
30.9,79.1,63.5,Rice,No
28.9,82.6,55.5,Rice,No
29.2,72.5,66.1,Rice,No
29,84.5,65,Rice,No
28.6,79.2,60.9,Rice,No
30.1,74.6,68.3,Rice,No
28.6,77.3,69.7,Rice,No
30.5,79.8,57,Rice,No
29.9,77.8,61.2,Rice,No
29.6,79.7,61.2,Rice,No
28.5,73.7,60.3,Rice,No
29,78.2,69.1,Rice,No
31.3,71.6,64,Rice,No
30.8,77,63.7,Rice,No
28.4,73.7,55,Rice,No
30.2,74.4,68.2,Rice,No
31.3,82.7,58.8,Rice,No
27.2,82,65.3,Rice,No
30.9,80,66.4,Rice,No
28.9,72.9,71.8,Rice,No
31,76.2,58.5,Rice,No
28.7,82.6,49.9,Rice,No
27,78.1,65.9,Rice,No
27.3,87.2,74,Rice,No
30.1,79.1,71.2,Rice,No
30.4,78.3,66,Rice,No
28.5,76.2,62.5,Rice,No
31.1,78.1,69,Rice,No
27.2,76.9,60.1,Rice,No
29.9,80.5,67.4,Rice,No
28,81.5,67.5,Rice,No
28.9,74.2,70.3,Rice,No
30.1,72,78.8,Rice,No
28.6,69.8,67,Rice,No
29.4,79.6,62.5,Rice,No
31.7,72.9,64.9,Rice,No
29,68.5,56.2,Rice,No
31.4,79.1,61.5,Rice,No
28.1,87.9,63,Rice,No
30.9,77.5,62.4,Rice,No
32.4,81,65.8,Rice,No
25.9,77.8,60.9,Rice,No
28.7,77.1,70.6,Rice,No
31,81.3,65,Rice,No
29.7,76.3,65,Rice,No
30.6,78.6,63.4,Rice,No
29,78.8,65.8,Rice,No
30.1,74.7,69.1,Rice,No
29.7,81.6,60.7,Rice,No
31.9,76.8,61.7,Rice,No
30.4,74.4,63.5,Rice,No
30.6,79.7,58.3,Rice,No
29.3,73.8,60.9,Rice,No
29.2,77.6,62.6,Rice,No
29.3,77.5,69.4,Rice,No
30.7,82,66.3,Rice,No
29.3,79.5,66,Rice,No
30.5,77.4,69.3,Rice,No
33.5,80.9,64.3,Rice,No
31.5,83.3,67,Rice,No
29.5,79.8,64.5,Rice,No
32,77.5,66.3,Rice,No
29.3,72,62.1,Rice,No
26.6,73.1,52.8,Rice,No
28.3,76.2,64.3,Rice,No
26.9,75,72.1,Rice,No
29.4,76.7,69.6,Rice,No
30,77.7,69.8,Rice,No
32.8,79.7,71.2,Rice,No
30.5,77.2,65.4,Rice,No
29.6,79.5,66,Rice,No
31.4,77.8,61.9,Rice,No
26.3,69.3,63.4,Rice,No
30.4,73.6,68.1,Rice,No
31.3,76.9,71,Rice,No
27.5,72.5,64.3,Rice,No
31.9,80,62.7,Rice,No
30.6,83.9,65,Rice,No
29.3,82.6,68,Rice,No
31.1,76.6,57.8,Rice,No
33.8,83.7,53.5,Rice,No
30.3,78.1,62.2,Rice,No
30.4,76.1,58.9,Rice,No
29.2,74.9,62.5,Rice,No
28.6,76.2,64.3,Rice,No
31.4,75.9,62.7,Rice,No
28.6,78.2,72.3,Rice,No
30.1,78.2,66.6,Rice,No
29.2,77.5,66.5,Rice,No
30.8,79.3,68.1,Rice,No
30.6,82.5,59.3,Rice,No
31.7,81.5,70.2,Rice,No
29.1,71.3,64.6,Rice,No
29.6,66.9,68.4,Rice,No
28.4,81.4,59.6,Rice,No
29.3,71.8,57.2,Rice,No
30.6,76.6,69.1,Rice,No
31.3,72.6,66.9,Rice,No
28.5,70,60.5,Rice,No
31.4,79.8,60.7,Rice,No
32.3,80.7,70.6,Rice,No
30.7,75.1,59.1,Rice,No
33.1,66.7,73.2,Rice,No
28.7,75.2,60.5,Rice,No
27.9,79.1,68.2,Rice,No
27,71.3,63.4,Rice,No
32.5,78.3,68,Rice,No
31.1,77.4,62.3,Rice,No
29.9,79.9,64.2,Rice,No
30.5,78,65.2,Rice,No
28.1,73.4,60,Rice,No
34.1,82.5,68.7,Rice,No
30.2,76.8,62.4,Rice,No
30.2,77.4,63.9,Rice,No
31.2,73.6,60,Rice,No
30.8,75.7,52.2,Rice,No
30.4,73.8,64,Rice,No
28.7,76.8,77.1,Rice,No
30.8,84.6,68.9,Rice,No
33.1,71.8,64.9,Rice,No
32.2,70.8,63.7,Rice,No
32.7,83.6,65.1,Rice,No
29.1,76.6,67.7,Rice,No
28.4,74.7,59.1,Rice,No
29.8,81.8,70.6,Rice,No
30.1,75,68.6,Rice,No
31.8,85.1,68.6,Rice,No
27.2,80.3,67.2,Rice,No
32.5,75.5,65.1,Rice,No
29.7,86.5,68.4,Rice,No
29.3,75,68,Rice,No
28.3,80.6,63.2,Rice,No
27.2,78.7,62.1,Rice,No
31.4,82.9,65.5,Rice,No
30.1,84,72.7,Rice,No
27.9,77.6,58.8,Rice,No
27.8,74.4,57.7,Rice,No
29.4,79.4,65.8,Rice,No
32.8,74.7,65.3,Rice,No
29.6,85.9,65.9,Rice,No
27.5,78.1,66.2,Rice,No
29.6,76,63.9,Rice,No
29.5,78.3,72.4,Rice,No
25.5,71.9,57,Rice,No
29.9,73.5,60.9,Rice,No
29.6,82.5,64.5,Rice,No
31.2,74.8,56.8,Rice,No
33.1,73.1,64.1,Rice,No
31.9,79.7,73.3,Rice,No
29.6,82.4,65.1,Rice,No
28.2,80.5,66.2,Rice,No
34.3,81.7,58.7,Rice,No
30.1,74.3,61.9,Rice,No
30,71.6,63.1,Rice,No
30,83.8,63.4,Rice,No
30.3,76.2,71.4,Rice,No
29.8,76.5,67.8,Rice,No
29,83,59.4,Rice,No
29.1,79.8,66.2,Rice,No
29.9,79.4,67.5,Rice,No
29.1,86.5,70.7,Rice,No
28.8,74.8,72.9,Rice,No
30.2,81.4,59.9,Rice,No
29.6,77.7,60.9,Rice,No
32.5,78.6,58.7,Rice,No
25.6,83.9,63.8,Rice,No
31.8,79.6,67.3,Rice,No
32.1,79.7,69.9,Rice,No
26.5,82,64.6,Rice,No
29.4,76,63.4,Rice,No
29.4,74,65.8,Rice,No
27.7,73.1,60.8,Rice,No
28.7,69.3,75.4,Rice,No
28.1,86.1,57,Rice,No
32.9,72.9,65.9,Rice,No
31.6,76.6,75.1,Rice,No
32.1,76.3,65,Rice,No
31.2,78.8,64,Rice,No
28.1,80.9,63.2,Rice,No
29.1,81.1,64.1,Rice,No
30.8,75.1,71.9,Rice,No
28,76.8,53.9,Rice,No
31.2,78.7,72.7,Rice,No
29.6,76.5,57.9,Rice,No
29.4,84.2,63.7,Rice,No
31.2,79.5,62.9,Rice,No
30.7,80.6,67.9,Rice,No
29.4,80.3,57,Rice,No
31.9,82.4,67.3,Rice,No
28.2,78.3,75.1,Rice,No
31,72.1,58.2,Rice,No
31,79.2,65.9,Rice,No
29.5,74.8,61.7,Rice,No
30.5,75.3,67.1,Rice,No
27.9,79.9,65.1,Rice,No
31.5,82.7,61.8,Rice,No
29.7,77.6,67.4,Rice,No
29.1,78.8,74,Rice,No
31.7,84.6,64,Rice,No
28.8,78.5,68.6,Rice,No
27.7,88.3,58.5,Rice,No
27.4,79.9,60.2,Rice,No
31,70.2,67.4,Rice,No
27.9,80.6,72.4,Rice,No
32.9,79.1,66.8,Rice,No
26.5,82.9,63.4,Rice,No
32.8,80.3,65,Rice,No
30.4,76.9,58.7,Rice,No
29.8,72.4,68,Rice,No
29.1,76.6,69.4,Rice,No
30.7,74,62.7,Rice,No
29.9,75.1,62.6,Rice,No
31.8,80,66.3,Rice,No
30.2,84.5,62.8,Rice,No
30.3,79.1,64.7,Rice,No
29.4,72.5,75.5,Rice,No
29.9,79.4,63.8,Rice,No
30.5,82.5,63.2,Rice,No
27.1,75,61.8,Rice,No
27.8,76.9,68.7,Rice,No
31.2,77.6,64.1,Rice,No
30.3,74.2,61.8,Rice,No
29.7,80.2,71.6,Rice,No
30,77,72.1,Rice,No
30.6,79.2,62,Rice,No
29.1,73.8,55.7,Rice,No
28.7,75.7,70,Rice,No
30.3,80.5,61.6,Rice,No
28.4,75.9,69,Rice,No
30.7,84.7,55.1,Rice,No
27.2,75.8,69.5,Rice,No
31.7,78.4,58.9,Rice,No
30.8,81.4,68.7,Rice,No
30.4,71.6,65.1,Rice,No
31.6,70.2,60.2,Rice,No
32.8,71.1,63,Rice,No
31.7,82.8,68.4,Rice,No
26.9,75.2,65.5,Rice,No
27.9,88.2,67.9,Rice,No
29,75.1,74.9,Rice,No
30,78.3,57.2,Rice,No
30.9,83.9,73.1,Rice,No
28.8,85.9,65.5,Rice,No
30.3,86.1,60.5,Rice,No
28.7,82.5,58.3,Rice,No
29,81.8,64.1,Rice,No
27.7,80,69.6,Rice,No
19.8,35.5,48,Wheat,No
22.5,40.7,51.1,Wheat,No
17.6,42.9,54.2,Wheat,No
20,54.4,48.5,Wheat,No
17.9,47.8,47.7,Wheat,No
20.6,38.3,43.4,Wheat,No
21.5,47.4,50.3,Wheat,No
19.3,37.3,56.8,Wheat,No
15.7,50.4,50.9,Wheat,No
20.3,42.6,49.9,Wheat,No
20.7,44.5,51.1,Wheat,No
20.7,51.6,50,Wheat,No
22.1,38.6,47.3,Wheat,No
18.2,38,52.7,Wheat,No
21.1,42.1,50.8,Wheat,No
22,50.2,50.1,Wheat,No
17,37.4,46.7,Wheat,No
20.5,30.8,54.3,Wheat,No
19.2,42.7,52.2,Wheat,No
19.9,47.8,48.2,Wheat,No
20.6,51,53.3,Wheat,No
19.2,42.7,48.3,Wheat,No
18.9,42.9,47.4,Wheat,No
20.1,50.8,47.5,Wheat,No
18.2,35.7,44.1,Wheat,No
18.2,43.1,51.6,Wheat,No
21.1,46,43.9,Wheat,No
18.1,47.2,45.9,Wheat,No
21.1,42.5,43.1,Wheat,No
20.8,45.2,49.7,Wheat,No
17.1,32.6,49.5,Wheat,No
18.9,41.7,48.9,Wheat,No
22,47.3,46.5,Wheat,No
18.4,40.1,46.1,Wheat,No
19.2,45.3,51.5,Wheat,No
20.8,47.2,48.2,Wheat,No
21.3,43.3,51.1,Wheat,No
19.6,45.9,47,Wheat,No
19,40.2,50.6,Wheat,No
22.4,44,54.3,Wheat,No
22.9,48.1,52,Wheat,No
21.6,45.8,48.6,Wheat,No
20.1,42.1,50.9,Wheat,No
18.7,46.1,49.2,Wheat,No
18.6,48.6,50,Wheat,No
20.9,34.8,48.9,Wheat,No
20.7,50.8,49.5,Wheat,No
22.3,43.3,50.7,Wheat,No
